repoName,classid,file,startline,endline,pcid,similarity,granularity
ajenti,1,../clone_code/trad/ajenti/ajenti/api/sensors.py.pyindent,15,18,18,100,functions-blind
ajenti,1,../clone_code/trad/ajenti/ajenti/plugins/network/widget.py.pyindent,33,36,1266,100,functions-blind
ajenti,1,../clone_code/trad/ajenti/ajenti/plugins/network/widget.py.pyindent,62,65,1269,100,functions-blind
ajenti,2,../clone_code/trad/ajenti/ajenti/api/__init__.py.pyindent,100,110,30,100,functions-blind
ajenti,2,../clone_code/trad/ajenti/ajenti/api/__init__.py.pyindent,142,152,34,100,functions-blind
ajenti,2,../clone_code/trad/ajenti/ajenti/api/__init__.py.pyindent,119,129,32,100,functions-blind
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/main/api.py.pyindent,50,52,104,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/hosts/main.py.pyindent,24,27,62,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/squid/main.py.pyindent,38,41,538,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/netatalk/main.py.pyindent,32,35,1097,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/bind9/main.py.pyindent,78,81,767,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/resolv/main.py.pyindent,25,28,615,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/dhcpd/main.py.pyindent,33,36,731,100,functions-blind
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/exports/main.py.pyindent,30,33,518,100,functions-blind
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/hosts/main.py.pyindent,29,31,63,100,functions-blind
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/users/main.py.pyindent,99,102,1113,100,functions-blind
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/resolv/main.py.pyindent,30,32,616,100,functions-blind
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/users/main.py.pyindent,94,97,1112,100,functions-blind
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/dhcpd/main.py.pyindent,38,40,732,100,functions-blind
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/users/main.py.pyindent,89,92,1111,100,functions-blind
ajenti,5,../clone_code/trad/ajenti/ajenti/plugins/smartctl/widget.py.pyindent,15,21,69,100,functions-blind
ajenti,5,../clone_code/trad/ajenti/ajenti/plugins/hddtemp/sensor.py.pyindent,14,20,1201,100,functions-blind
ajenti,5,../clone_code/trad/ajenti/ajenti/plugins/hdparm/widget.py.pyindent,15,21,542,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/smartctl/widget.py.pyindent,72,78,74,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/fstab/iops.py.pyindent,90,96,1075,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/network/widget.py.pyindent,105,111,1275,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/fstab/widget.py.pyindent,25,31,1090,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/network/widget.py.pyindent,134,140,1280,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/hddtemp/widget.py.pyindent,24,30,1206,100,functions-blind
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/hdparm/widget.py.pyindent,52,58,547,100,functions-blind
ajenti,7,../clone_code/trad/ajenti/ajenti/plugins/main/controls_containers.py.pyindent,115,118,80,100,functions-blind
ajenti,7,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,59,62,87,100,functions-blind
ajenti,7,../clone_code/trad/ajenti/ajenti/plugins/services/main.py.pyindent,60,63,359,100,functions-blind
ajenti,8,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,50,54,85,100,functions-blind
ajenti,8,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,152,156,97,100,functions-blind
ajenti,9,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,96,99,89,100,functions-blind
ajenti,9,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,118,121,92,100,functions-blind
ajenti,10,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,100,106,90,100,functions-blind
ajenti,10,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,145,151,96,100,functions-blind
ajenti,11,../clone_code/trad/ajenti/ajenti/plugins/main/__init__.py.pyindent,14,22,133,100,functions-blind
ajenti,11,../clone_code/trad/ajenti/ajenti/plugins/packages/__init__.py.pyindent,15,23,918,100,functions-blind
ajenti,12,../clone_code/trad/ajenti/ajenti/plugins/tasks/main.py.pyindent,87,90,191,100,functions-blind
ajenti,12,../clone_code/trad/ajenti/ajenti/plugins/netatalk/main.py.pyindent,37,40,1098,100,functions-blind
ajenti,12,../clone_code/trad/ajenti/ajenti/plugins/squid/main.py.pyindent,43,46,539,100,functions-blind
ajenti,12,../clone_code/trad/ajenti/ajenti/plugins/samba/main.py.pyindent,93,96,989,100,functions-blind
ajenti,12,../clone_code/trad/ajenti/ajenti/plugins/supervisor/main.py.pyindent,42,45,690,100,functions-blind
ajenti,13,../clone_code/trad/ajenti/ajenti/plugins/tasks/__init__.py.pyindent,15,19,192,100,functions-blind
ajenti,13,../clone_code/trad/ajenti/ajenti/plugins/dashboard/__init__.py.pyindent,14,18,655,100,functions-blind
ajenti,13,../clone_code/trad/ajenti/ajenti/plugins/fstab/__init__.py.pyindent,16,20,1077,100,functions-blind
ajenti,14,../clone_code/trad/ajenti/ajenti/plugins/terminal/pyte/screens.py.pyindent,440,451,251,100,functions-blind
ajenti,14,../clone_code/trad/ajenti/ajenti/plugins/terminal/pyte/screens.py.pyindent,452,463,252,100,functions-blind
