repoName,classid,g,similarity,files,startlines,endlines,nb_fragment,granularity,clone_type,project_type,category,locc,clone category,sub_class
BerryNet,7,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/movidius.py.pyindent'}","{29, 30}","{50, 51}",2,Function,type 1,Deep Learning,2,22,Different directories,Load Model From Disk
BerryNet,8,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/movidius.py.pyindent'}","{51, 52}","{54, 55}",2,Function,type 1,Deep Learning,2,4,Different directories, others
BerryNet,9,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/movidius.py.pyindent'}","{56, 55}","{59, 60}",2,Function,type 1,Deep Learning,2,5,Different directories, inference
BerryNet,10,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/movidius.py.pyindent'}","{67, 68}","{84, 85}",2,Function,type 1,Deep Learning,2,18,Different directories, data preprocessing
BerryNet,11,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/movidius.py.pyindent'}","{91, 103}","{97, 109}",2,Function,type 1,Deep Learning,2,7,Different directories,data postprocessing
BerryNet,14,f,100,"{'../clone_code/dl/BerryNet/inference/dlmodelmgr.py.pyindent', '../clone_code/dl/BerryNet/berrynet/dlmodelmgr.py.pyindent'}","{38, 39}","{49, 50}",2,Function,type 1,Deep Learning,2,12,Different directories, others
BerryNet,15,f,100,"{'../clone_code/dl/BerryNet/inference/dlmodelmgr.py.pyindent', '../clone_code/dl/BerryNet/berrynet/dlmodelmgr.py.pyindent'}","{50, 51}","{56, 57}",2,Function,type 1,Deep Learning,2,7,Different directories, others
BerryNet,16,f,100,"{'../clone_code/dl/BerryNet/berrynet/engine/movidius_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/movidius_engine.py.pyindent'}","{33, 28}","{36, 31}",2,Function,type 1,Deep Learning,2,4,Different directories, model construction
BerryNet,17,f,100,"{'../clone_code/dl/BerryNet/berrynet/engine/movidius_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/movidius_engine.py.pyindent'}","{43, 38}","{42, 47}",2,Function,type 1,Deep Learning,2,5,Different directories, data postprocessing
BerryNet,18,f,100,"{'../clone_code/dl/BerryNet/berrynet/engine/movidius_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/movidius_engine.py.pyindent'}","{48, 43}","{48, 53}",2,Function,type 1,Deep Learning,2,6,Different directories, others
BerryNet,21,f,100,"{'../clone_code/dl/BerryNet/inference/engineservice.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/__init__.py.pyindent'}","{24, 43}","{32, 51}",2,Function,type 1,Deep Learning,2,9,Different directories, model construction
BerryNet,22,f,100,"{'../clone_code/dl/BerryNet/inference/engineservice.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/__init__.py.pyindent'}","{42, 61}","{64, 45}",2,Function,type 1,Deep Learning,2,4,Different directories, inference
BerryNet,23,f,100,"{'../clone_code/dl/BerryNet/inference/engineservice.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/__init__.py.pyindent'}","{52, 71}","{75, 54}",2,Function,type 1,Deep Learning,2,5,Different directories, others
adanet,1,f,100,"{'../clone_code/dl/adanet/adanet/ensemble/ensembler.py.pyindent', '../clone_code/dl/adanet/adanet/subnetwork/generator.py.pyindent'}","{42, 55}","{48, 61}",2,Function,type 1,Deep Learning,2,7,Different directories,others
adanet,2,f,100,"{'../clone_code/dl/adanet/adanet/core/testing_utils.py.pyindent', '../clone_code/dl/adanet/adanet/subnetwork/generator_test.py.pyindent'}","{42, 29}","{49, 36}",2,Function,type 1,Deep Learning,2,8,Different directories,model construction
adanet,8,f,100,"['../clone_code/dl/adanet/adanet/core/testing_utils.py.pyindent', '../clone_code/dl/adanet/adanet/autoensemble/tpu_estimator_test.py.pyindent', '../clone_code/dl/adanet/adanet/experimental/keras/model_search_test.py.pyindent', '../clone_code/dl/adanet/adanet/autoensemble/estimator_v2_test.py.pyindent']","[280, 40, 84, 42]","[288, 48, 92, 50]",4,Function,type 2,Deep Learning,2,9,Different directories,others
adanet,9,f,100,"['../clone_code/dl/adanet/adanet/core/testing_utils.py.pyindent', '../clone_code/dl/adanet/adanet/autoensemble/tpu_estimator_test.py.pyindent', '../clone_code/dl/adanet/adanet/experimental/keras/model_search_test.py.pyindent', '../clone_code/dl/adanet/adanet/autoensemble/estimator_v2_test.py.pyindent']","[289, 51, 93, 49]","[96, 53, 293, 54]",4,Function,type 2,Deep Learning,2,4,Different directories,others
BerryNet,4,f,71,"{'../clone_code/dl/BerryNet/utils/darknet/detectord.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe2_server.py.pyindent', '../clone_code/dl/BerryNet/inference/engineservice.py.pyindent', '../clone_code/dl/BerryNet/inference/detection_server.py.pyindent', '../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe_server.py.pyindent'}","{128, 132, 104, 77, 53, 215, 121, 156}","{68, 232, 138, 173, 145, 149, 121, 92}",8,Function,type 3,Deep Learning,2,18,Different directories, others
BerryNet,9,f,80,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/__init__.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/movidius.py.pyindent'}","{51, 75, 52}","{54, 78, 55}",3,Function,type 3,Deep Learning,2,4,Different directories, others
