repoName,classid,g,similarity,files,startlines,endlines,nb_fragment,granularity,clone_type,project_type,category,locc,clone category,sub_class
BerryNet,1,f,100,"{'../clone_code/dl/BerryNet/utils/snapshot-button.py.pyindent', '../clone_code/dl/BerryNet/utils/demo.py.pyindent'}","{8, 11}","{11, 14}",2,Function,type 1,Deep Learning,1,4,Same directory, others
BerryNet,2,f,100,"{'../clone_code/dl/BerryNet/utils/snapshot-button.py.pyindent', '../clone_code/dl/BerryNet/utils/demo.py.pyindent'}","{57, 20}","{24, 61}",2,Function,type 1,Deep Learning,1,5,Same directory, others
BerryNet,3,f,100,"{'../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/detection_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe2_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_server.py.pyindent'}","{65, 66, 67, 75, 60}","{78, 69, 70, 63}",5,Function,type 1,Deep Learning,1,5,Same directory, others
BerryNet,4,f,100,"{'../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe2_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_server.py.pyindent'}","{132, 104, 215, 121, 156}","{232, 138, 173, 149, 121}",5,Function,type 1,Deep Learning,1,18,Same directory, others
BerryNet,5,f,100,"{'../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent'}","{126, 143}","{140, 157}",2,Function,type 1,Deep Learning,1,15,Same directory, data preprocessing
BerryNet,6,f,100,"{'../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent'}","{141, 158}","{150, 167}",2,Function,type 1,Deep Learning,1,10,Same directory, others
BerryNet,12,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/inference/yoloutils.py.pyindent'}","{98, 14}","{91, 175}",2,Function,type 1,Deep Learning,1,78,Same directory, data postprocessing
BerryNet,13,f,100,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/inference/yoloutils.py.pyindent'}","{176, 92}","{187, 103}",2,Function,type 1,Deep Learning,1,12,Same directory, model training
BerryNet,19,f,100,"{'../clone_code/dl/BerryNet/inference/darkflow_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/movidius_engine.py.pyindent'}","{94, 54}","{111, 71}",2,Function,type 1,Deep Learning,1,18,Same directory, others
BerryNet,20,f,100,"{'../clone_code/dl/BerryNet/inference/darkflow_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/detection_server.py.pyindent'}","{66, 70}","{97, 93}",2,Function,type 1,Deep Learning,1,28,Same directory, data preprocessing
DeepCTR,1,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{56, 67}","{67, 78}",2,Function,type 1,Deep Learning,1,12,Same directory, model construction
DeepCTR,2,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{150, 191}","{190, 246}",2,Function,type 1,Deep Learning,1,56,Same directory, model construction
DeepCTR,3,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{191, 247}","{477, 366}",2,Function,type 1,Deep Learning,1,231,Same directory, model training
DeepCTR,4,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{478, 367}","{801, 677}",2,Function,type 1,Deep Learning,1,324,Same directory, data preprocessing
DeepCTR,5,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{835, 1091}","{1104, 848}",2,Function,type 1,Deep Learning,1,14,Same directory, data post-processing
DeepCTR,6,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{1275, 987}","{1282, 994}",2,Function,type 1,Deep Learning,1,8,Same directory, model construction
DeepCTR,7,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{1302, 1014}","{1021, 1309}",2,Function,type 1,Deep Learning,1,8,Same directory, model construction
DeepCTR,8,f,100,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent'}","{1324, 1036}","{1107, 1406}",2,Function,type 1,Deep Learning,1,83,Same directory, data post-processing
adanet,4,f,100,"{'../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent'}","{41, 42}","{50, 51}",2,Function,type 1,Deep Learning,1,10,Same directory, model construction
adanet,5,f,100,"{'../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent'}","{51, 52}","{80, 79}",2,Function,type 1,Deep Learning,1,29,Same directory, data preprocessing
adanet,6,f,100,"{'../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent'}","{154, 158}","{163, 159}",2,Function,type 1,Deep Learning,1,6,Same directory, data collection
ranking,3,f,100,"{'../clone_code/dl/ranking/tensorflow_ranking/python/metrics.py.pyindent', '../clone_code/dl/ranking/tensorflow_ranking/python/losses.py.pyindent'}","{97, 228}","{105, 236}",2,Function,type 1,Deep Learning,1,9,Same directory, model construction
BerryNet,5,f,100,"['../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/detection_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe2_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_server.py.pyindent']","[128, 132, 104, 215, 121, 156]","[232, 138, 173, 145, 149, 121]",6,Function,type 2,Deep Learning,1,18,Same directory, model construction
BerryNet,15,f,100,"['../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/inference/yoloutils.py.pyindent']","[274, 157]","[288, 171]",2,Function,type 2,Deep Learning,1,15,Same directory, others
BerryNet,26,f,100,"['../clone_code/dl/BerryNet/berrynet/service/tensorflow_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/movidius_service.py.pyindent']","[32, 37]","[41, 36]",2,Function,type 2,Deep Learning,1,5,Same directory, model construction
BerryNet,27,f,100,"['../clone_code/dl/BerryNet/berrynet/service/tflite_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/openvino_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/movidius_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/darknet_service.py.pyindent']","[36, 37, 49, 84, 85]","[41, 42, 54, 89, 90]",5,Function,type 2,Deep Learning,1,6,Same directory, model construction
DeepCTR,12,f,100,"['../clone_code/dl/DeepCTR/deepctr/layers/normalization.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/activation.py.pyindent']","[34, 15]","[19, 38]",2,Function,type 2,Deep Learning,1,5,Same directory, model construction
adanet,2,f,100,"['../clone_code/dl/adanet/adanet/core/estimator_distributed_test_runner.py.pyindent', '../clone_code/dl/adanet/adanet/core/estimator_v2_test.py.pyindent']","[90, 197]","[202, 95]",2,Function,type 2,Deep Learning,1,6,Same directory, model construction
adanet,14,f,100,"['../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent']","[114, 110]","[152, 148]",2,Function,type 2,Deep Learning,1,39,Same directory, data preprocessing
adanet,16,f,100,"['../clone_code/dl/adanet/research/improve_nas/trainer/cifar100_test.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar10_test.py.pyindent']",[28],[41],2,Function,type 2,Deep Learning,1,14,Same directory,others
adanet,17,f,100,"['../clone_code/dl/adanet/research/improve_nas/trainer/cifar100_test.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar10_test.py.pyindent']",[42],[45],2,Function,type 2,Deep Learning,1,4,Same directory, others
ranking,7,f,100,"['../clone_code/dl/ranking/tensorflow_ranking/python/utils_test.py.pyindent', '../clone_code/dl/ranking/tensorflow_ranking/python/metrics_test.py.pyindent', '../clone_code/dl/ranking/tensorflow_ranking/python/losses_test.py.pyindent']","[161, 35, 138, 281, 28, 1087]","[1090, 164, 38, 141, 284, 31]",6,Function,type 2,Deep Learning,1,4,Same directory, model construction
ranking,8,f,100,"['../clone_code/dl/ranking/tensorflow_ranking/python/metrics_test.py.pyindent', '../clone_code/dl/ranking/tensorflow_ranking/python/losses_test.py.pyindent']","[1091, 142]","[1098, 149]",2,Function,type 2,Deep Learning,1,8,Same directory, model construction
BerryNet,1,f,80,"{'../clone_code/dl/BerryNet/utils/demo.py.pyindent', '../clone_code/dl/BerryNet/utils/snapshot-button.py.pyindent'}","{36, 8, 11, 12, 16, 20, 24}","{39, 11, 14, 15, 19, 23, 27}",7,Function,type 3,Deep Learning,1,4,Same directory, others
BerryNet,5,f,85,"{'../clone_code/dl/BerryNet/inference/classify_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe2_server.py.pyindent', '../clone_code/dl/BerryNet/inference/engineservice.py.pyindent', '../clone_code/dl/BerryNet/inference/detection_server.py.pyindent', '../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_caffe_server.py.pyindent'}","{65, 66, 67, 107, 75, 60}","{69, 70, 78, 110, 63}",6,Function,type 3,Deep Learning,1,5,Same directory, others
BerryNet,7,f,80,"{'../clone_code/dl/BerryNet/inference/detect_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/classify_movidius_server.py.pyindent', '../clone_code/dl/BerryNet/inference/detect_movidius_server_cv.py.pyindent'}","{96, 141, 158}","{105, 150, 167}",3,Function,type 3,Deep Learning,1,10,Same directory, others
BerryNet,15,f,94,"{'../clone_code/dl/BerryNet/inference/movidius.py.pyindent', '../clone_code/dl/BerryNet/inference/yoloutils.py.pyindent'}","{104, 188}","{232, 147}",2,Function,type 3,Deep Learning,1,45,Same directory, data post-processing
BerryNet,22,f,94,"{'../clone_code/dl/BerryNet/inference/movidius_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/darkflow_engine.py.pyindent', '../clone_code/dl/BerryNet/inference/engineservice.py.pyindent'}","{169, 54, 94}","{186, 111, 71}",3,Function,type 3,Deep Learning,1,18,Same directory, others
BerryNet,27,f,71,"{'../clone_code/dl/BerryNet/berrynet/service/tensorflow_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/darknet_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/movidius_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/openvino_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/tflite_service.py.pyindent'}","{32, 36, 37, 49, 84, 85}","{36, 41, 42, 54, 89, 90}",6,Function,type 3,Deep Learning,1,6,Same directory, model construction
BerryNet,28,f,83,"{'../clone_code/dl/BerryNet/berrynet/service/tensorflow_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/darknet_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/movidius_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/openvino_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/tflite_service.py.pyindent'}","{65, 37, 42, 77, 78, 89, 122, 125}","{130, 70, 42, 47, 82, 83, 94, 127}",8,Function,type 3,Deep Learning,1,6,Same directory, others
BerryNet,29,f,79,"{'../clone_code/dl/BerryNet/berrynet/service/movidius_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/tflite_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/openvino_service.py.pyindent'}","{42, 43, 55, 90, 91}","{76, 77, 88, 121, 124}",5,Function,type 3,Deep Learning,1,35,Same directory, others
BerryNet,30,f,75,"{'../clone_code/dl/BerryNet/berrynet/service/movidius_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/tflite_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/openvino_service.py.pyindent'}","{171, 117, 175}","{153, 217, 221}",3,Function,type 3,Deep Learning,1,47,Same directory, others
BerryNet,31,f,88,"{'../clone_code/dl/BerryNet/berrynet/service/tflite_service.py.pyindent', '../clone_code/dl/BerryNet/berrynet/service/openvino_service.py.pyindent'}","{128, 131}","{170, 174}",2,Function,type 3,Deep Learning,1,44,Same directory, others
BerryNet,34,f,90,"{'../clone_code/dl/BerryNet/berrynet/engine/openvino_engine.py.pyindent', '../clone_code/dl/BerryNet/berrynet/engine/tflite_engine.py.pyindent'}","{189, 359}","{401, 230}",2,Function,type 3,Deep Learning,1,43,Same directory, data preprocessing
BerryNet,39,f,72,"{'../clone_code/dl/BerryNet/berrynet/client/data_collector_ui.py.pyindent', '../clone_code/dl/BerryNet/berrynet/client/data_collector.py.pyindent', '../clone_code/dl/BerryNet/berrynet/client/snapshot.py.pyindent'}","{34, 44, 36}","{42, 52}",3,Function,type 3,Deep Learning,1,7,Same directory, data collection
BerryNet,40,f,78,"{'../clone_code/dl/BerryNet/berrynet/client/data_collector_ui.py.pyindent', '../clone_code/dl/BerryNet/berrynet/client/data_collector.py.pyindent'}","{43, 77, 53, 62}","{100, 80, 76, 61}",4,Function,type 3,Deep Learning,1,19,Same directory, others
BerryNet,42,f,86,"{'../clone_code/dl/BerryNet/berrynet/client/data_collector_ui.py.pyindent', '../clone_code/dl/BerryNet/berrynet/client/data_collector.py.pyindent', '../clone_code/dl/BerryNet/berrynet/client/snapshot.py.pyindent'}","{112, 283, 94}","{112, 131, 302}",3,Function,type 3,Deep Learning,1,19,Same directory, others
BerryNet,43,f,81,"{'../clone_code/dl/BerryNet/berrynet/client/data_collector.py.pyindent', '../clone_code/dl/BerryNet/berrynet/client/snapshot.py.pyindent'}","{73, 86}","{93, 111}",2,Function,type 3,Deep Learning,1,21,Same directory, others
DeepCTR,1,f,70,"{'../clone_code/dl/DeepCTR/tests/models/DeepFM_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/models/PNN_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/models/NFM_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/models/AFM_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/models/DCN_test.py.pyindent'}","{10, 11, 12}","{21, 29, 22}",3,Function,type 3,Deep Learning,1,12,Same directory, others
DeepCTR,2,f,71,"{'../clone_code/dl/DeepCTR/tests/models/FNN_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/models/WDL_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/models/CCPM_test.py.pyindent'}","{32, 13, 14}","{40, 26, 45}",3,Function,type 3,Deep Learning,1,14,Same directory, others
DeepCTR,3,f,75,"{'../clone_code/dl/DeepCTR/tests/layers/interaction_test.py.pyindent', '../clone_code/dl/DeepCTR/tests/layers/activations_test.py.pyindent'}","{59, 6}","{64, 9}",2,Function,type 3,Deep Learning,1,6,Same directory, others
DeepCTR,6,f,73,"{'../clone_code/dl/DeepCTR/deepctr/models/autoint.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/models/dcn.py.pyindent'}","{17, 20}","{88, 75}",2,Function,type 3,Deep Learning,1,69,Same directory, model construction
DeepCTR,10,f,94,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent'}","{89, 78}","{116, 143}",2,Function,type 3,Deep Learning,1,39,Same directory, data preprocessing
DeepCTR,11,f,95,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent'}","{144, 117}","{149, 190}",2,Function,type 3,Deep Learning,1,33,Same directory, data preprocessing
DeepCTR,15,f,89,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent'}","{802, 678}","{892, 1148}",2,Function,type 3,Deep Learning,1,215,Same directory, model construction
DeepCTR,16,f,98,"{'../clone_code/dl/DeepCTR/deepctr/contrib/rnn.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/contrib/rnn_v2.py.pyindent'}","{893, 1149}","{1153, 1452}",2,Function,type 3,Deep Learning,1,261,Same directory, model construction
DeepCTR,17,f,70,"{'../clone_code/dl/DeepCTR/deepctr/layers/interaction.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/sequence.py.pyindent'}","{162, 134, 54}","{170, 59, 139}",3,Function,type 3,Deep Learning,1,9,Same directory, model construction
DeepCTR,19,f,71,"{'../clone_code/dl/DeepCTR/deepctr/layers/sequence.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/utils.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/activation.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/interaction.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/normalization.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/core.py.pyindent'}","{385, 137, 523, 1041, 408, 35, 814, 180, 696, 57, 60, 316, 962, 201, 861, 102, 614, 109, 113, 755, 758, 246}","{391, 143, 528, 1044, 415, 38, 819, 184, 702, 62, 65, 323, 967, 207, 866, 107, 620, 115, 118, 760, 249, 763}",22,Function,type 3,Deep Learning,1,5,Same directory, model construction
DeepCTR,20,f,70,"{'../clone_code/dl/DeepCTR/deepctr/layers/sequence.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/core.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/activation.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/utils.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/normalization.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/interaction.py.pyindent'}","{704, 32, 34, 777, 650, 139, 45, 15, 913, 49, 345, 988}","{993, 36, 38, 710, 654, 782, 19, 147, 918, 55, 350}",12,Function,type 3,Deep Learning,1,11,Same directory, model construction
DeepCTR,23,f,70,"{'../clone_code/dl/DeepCTR/deepctr/layers/interaction.py.pyindent', '../clone_code/dl/DeepCTR/deepctr/layers/core.py.pyindent'}","{216, 640}","{646, 222}",2,Function,type 3,Deep Learning,1,7,Same directory, model construction
adanet,32,f,81,"{'../clone_code/dl/adanet/adanet/autoensemble/estimator_v2_test.py.pyindent', '../clone_code/dl/adanet/adanet/autoensemble/tpu_estimator_test.py.pyindent'}","{158, 95}","{101, 166}",2,Function,type 3,Deep Learning,1,9,Same directory, model training
adanet,36,f,87,"{'../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent'}","{80, 81}","{105, 109}",2,Function,type 3,Deep Learning,1,26,Same directory, data preprocessing
adanet,38,f,80,"{'../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/fake_data.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent'}","{153, 149, 41}","{153, 44, 157}",3,Function,type 3,Deep Learning,1,4,Same directory, model construction
adanet,39,f,71,"{'../clone_code/dl/adanet/research/improve_nas/trainer/cifar10.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/fake_data.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/cifar100.py.pyindent'}","{78, 154, 158}","{82, 163, 159}",3,Function,type 3,Deep Learning,1,5,Same directory, data preprocessing
adanet,40,f,83,"{'../clone_code/dl/adanet/research/improve_nas/trainer/nasnet_utils.py.pyindent', '../clone_code/dl/adanet/research/improve_nas/trainer/optimizer.py.pyindent'}","{228, 166, 127}","{130, 234, 181}",3,Function,type 3,Deep Learning,1,16,Same directory, model training
