repoName,classid,g,similarity,files,startlines,endlines,nb_fragment,granularity,clone_type,project_type,category,locc,clone category,sub_class
BerryNet,24,f,100,{'../clone_code/dl/BerryNet/berrynet/engine/openvino_engine.py.pyindent'},"{101, 214}","{104, 217}",2,Function,type 1,Deep Learning,0,4,Same file, others
BerryNet,25,f,100,{'../clone_code/dl/BerryNet/berrynet/engine/tflite_engine.py.pyindent'},"{102, 183}","{107, 188}",2,Function,type 1,Deep Learning,0,6,Same file, data collection
adanet,3,f,100,{'../clone_code/dl/adanet/adanet/experimental/keras/model_search_test.py.pyindent'},"{114, 174}","{128, 189}",2,Function,type 1,Deep Learning,0,16,Same file, model construction
ranking,1,f,100,{'../clone_code/dl/ranking/tensorflow_ranking/python/metrics_impl.py.pyindent'},"{204, 262, 287}","{208, 266, 291}",3,Function,type 1,Deep Learning,0,5,Same file, others
ranking,2,f,100,{'../clone_code/dl/ranking/tensorflow_ranking/python/metrics_impl.py.pyindent'},"{367, 327}","{337, 377}",2,Function,type 1,Deep Learning,0,11,Same file, others
ranking,4,f,100,{'../clone_code/dl/ranking/tensorflow_ranking/python/data_test.py.pyindent'},"{696, 788}","{824, 732}",2,Function,type 1,Deep Learning,0,37,Same file, others
ranking,5,f,100,{'../clone_code/dl/ranking/tensorflow_ranking/python/losses_impl.py.pyindent'},"{525, 438}","{536, 449}",2,Function,type 1,Deep Learning,0,12,Same file, model construction
BerryNet,2,f,100,['../clone_code/dl/BerryNet/utils/demo.py.pyindent'],"[32, 28]","[35, 31]",2,Function,type 2,Deep Learning,0,4,Same file, others
BerryNet,30,f,100,['../clone_code/dl/BerryNet/berrynet/comm/__init__.py.pyindent'],"[32, 39]","[45, 38]",2,Function,type 2,Deep Learning,0,7,Same file, others
DeepCTR,1,f,100,['../clone_code/dl/DeepCTR/deepctr/contrib/utils.py.pyindent'],"[172, 287]","[312, 197]",2,Function,type 2,Deep Learning,0,26,Same file, model construction
DeepCTR,10,f,100,['../clone_code/dl/DeepCTR/deepctr/layers/sequence.py.pyindent'],"[134, 54]","[59, 139]",2,Function,type 2,Deep Learning,0,6,Same file, model construction
DeepCTR,11,f,100,['../clone_code/dl/DeepCTR/deepctr/layers/utils.py.pyindent'],"[128, 146, 163]","[145, 162, 179]",3,Function,type 2,Deep Learning,0,18,Same file, others
adanet,3,f,100,['../clone_code/dl/adanet/adanet/core/summary.py.pyindent'],"[328, 297]","[342, 311]",2,Function,type 2,Deep Learning,0,15,Same file, others
adanet,4,f,100,['../clone_code/dl/adanet/adanet/core/summary.py.pyindent'],"[683, 662, 567]","[665, 570, 686]",3,Function,type 2,Deep Learning,0,4,Same file, others
adanet,5,f,100,['../clone_code/dl/adanet/adanet/core/summary.py.pyindent'],"[576, 593, 671]","[600, 678, 583]",3,Function,type 2,Deep Learning,0,8,Same file, others
adanet,6,f,100,['../clone_code/dl/adanet/adanet/core/summary.py.pyindent'],"[691, 612]","[699, 620]",2,Function,type 2,Deep Learning,0,9,Same file, others
adanet,10,f,100,['../clone_code/dl/adanet/adanet/core/architecture_test.py.pyindent'],"[69, 46]","[74, 51]",2,Function,type 2,Deep Learning,0,6,Same file, others
adanet,18,f,100,['../clone_code/dl/adanet/research/improve_nas/trainer/nasnet_utils.py.pyindent'],"[228, 166]","[234, 181]",2,Function,type 2,Deep Learning,0,16,Same file, model training
adanet,19,f,100,['../clone_code/dl/adanet/research/improve_nas/trainer/nasnet.py.pyindent'],"[405, 350]","[456, 401]",2,Function,type 2,Deep Learning,0,52,Same file, model construction
keras-applications,1,f,100,['../clone_code/dl/keras-applications/tests/applications_test.py.pyindent'],"[201, 211, 191]","[200, 210, 220]",3,Function,type 2,Deep Learning,0,10,Same file,others
keras-applications,2,f,100,['../clone_code/dl/keras-applications/tests/applications_test.py.pyindent'],"[241, 231]","[240, 250]",2,Function,type 2,Deep Learning,0,10,Same file, others
nn-wtf,1,f,100,['../clone_code/dl/nn-wtf/nn_wtf/input_data.py.pyindent'],"[114, 101]","[113, 126]",2,Function,type 2,Deep Learning,0,13,Same file, data collection
nn-wtf,2,f,100,['../clone_code/dl/nn-wtf/nn_wtf/tests/trainer_test.py.pyindent'],"[48, 43, 53, 38]","[57, 42, 52, 47]",4,Function,type 2,Deep Learning,0,5,Same file, others
ranking,4,f,100,['../clone_code/dl/ranking/tensorflow_ranking/python/metrics.py.pyindent'],"[160, 106]","[164, 110]",2,Function,type 2,Deep Learning,0,5,Same file, model training
ranking,5,f,100,['../clone_code/dl/ranking/tensorflow_ranking/python/metrics.py.pyindent'],"[151, 142, 111]","[159, 150, 119]",3,Function,type 2,Deep Learning,0,9,Same file, others
ranking,6,f,100,['../clone_code/dl/ranking/tensorflow_ranking/python/metrics.py.pyindent'],"[120, 131]","[130, 141]",2,Function,type 2,Deep Learning,0,11,Same file, others
ranking,10,f,100,['../clone_code/dl/ranking/tensorflow_ranking/python/losses_test.py.pyindent'],"[495, 491, 499]","[498, 494, 502]",3,Function,type 2,Deep Learning,0,4,Same file, others
ranking,11,f,100,['../clone_code/dl/ranking/tensorflow_ranking/python/losses_test.py.pyindent'],"[586, 642]","[678, 622]",2,Function,type 2,Deep Learning,0,37,Same file, others
BerryNet,32,f,80,{'../clone_code/dl/BerryNet/berrynet/engine/tensorflow_engine.py.pyindent'},"{66, 70}","{73, 69}",2,Function,type 3,Deep Learning,0,4,Same file, data preprocessing
BerryNet,35,f,80,{'../clone_code/dl/BerryNet/berrynet/engine/caffe_engine.py.pyindent'},"{51, 55}","{58, 54}",2,Function,type 3,Deep Learning,0,4,Same file, data preprocessing
BerryNet,41,f,80,{'../clone_code/dl/BerryNet/berrynet/client/data_collector_ui.py.pyindent'},"{209, 213}","{216, 212}",2,Function,type 3,Deep Learning,0,4,Same file, others
DeepCTR,4,f,75,{'../clone_code/dl/DeepCTR/tests/layers/interaction_test.py.pyindent'},"{41, 53}","{58, 46}",2,Function,type 3,Deep Learning,0,6,Same file, others
DeepCTR,5,f,75,{'../clone_code/dl/DeepCTR/tests/layers/interaction_test.py.pyindent'},"{65, 110}","{121, 70}",2,Function,type 3,Deep Learning,0,12,Same file, others
DeepCTR,8,f,95,{'../clone_code/dl/DeepCTR/deepctr/contrib/utils.py.pyindent'},"{212, 327}","{378, 263}",2,Function,type 3,Deep Learning,0,52,Same file, model construction
DeepCTR,18,f,72,{'../clone_code/dl/DeepCTR/deepctr/layers/sequence.py.pyindent'},"{285, 748, 93, 174}","{754, 98, 179, 290}",4,Function,type 3,Deep Learning,0,7,Same file, data post-processing
DeepCTR,22,f,72,{'../clone_code/dl/DeepCTR/deepctr/layers/utils.py.pyindent'},"{186, 180}","{192, 185}",2,Function,type 3,Deep Learning,0,7,Same file, model construction
DeepCTR,24,f,76,{'../clone_code/dl/DeepCTR/deepctr/layers/interaction.py.pyindent'},"{171, 421}","{185, 438}",2,Function,type 3,Deep Learning,0,18,Same file, data preprocessing
adanet,1,f,80,{'../clone_code/dl/adanet/adanet/distributed/placement.py.pyindent'},"{60, 86}","{96, 70}",2,Function,type 3,Deep Learning,0,11,Same file, model training
