repoName,classid,language,nlines,nb_fragment,files_splitted,startlines_split,endlines_split,similarity,granularity,clone_type,reposType
ConvNetSharp,1,csharp,23,2, csharp/ConvNetSharp/Examples/FlowDemo/Classify2DDemo.cs.ifdefed,77,99,93,Block,Type 3,Deep Learning
ConvNetSharp,1,csharp,22,2,csharp/ConvNetSharp/Examples/Classify2DDemo/Program.cs.ifdefed,75,96,93,Block,Type 3,Deep Learning
ConvNetSharp,1,csharp,24,2, csharp/ConvNetSharp/Examples/FlowDemo/Classify2DDemo.cs.ifdefed,76,99,93,Function,Type 3,Deep Learning
ConvNetSharp,1,csharp,23,2,csharp/ConvNetSharp/Examples/Classify2DDemo/Program.cs.ifdefed,74,96,93,Function,Type 3,Deep Learning
ConvNetSharp,3,csharp,9,2, csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUDouble.cs.ifdefed,39,47,85,Block,Type 3,Deep Learning
ConvNetSharp,3,csharp,9,2,csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUSingle.cs.ifdefed,57,65,85,Block,Type 3,Deep Learning
ConvNetSharp,3,csharp,27,2, csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUSingle.cs.ifdefed,109,135,81,Function,Type 3,Deep Learning
ConvNetSharp,3,csharp,23,2,csharp/ConvNetSharp/Examples/FlowDemo/ExampleGPUSingle.cs.ifdefed,61,83,81,Function,Type 3,Deep Learning
ConvNetSharp,4,csharp,20,2, csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUSingle.cs.ifdefed,36,55,76,Block,Type 3,Deep Learning
ConvNetSharp,4,csharp,26,2,csharp/ConvNetSharp/Examples/FlowDemo/ExampleGPUSingle.cs.ifdefed,52,77,76,Block,Type 3,Deep Learning
ConvNetSharp,5,csharp,26,2, csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUSingle.cs.ifdefed,110,135,82,Block,Type 3,Deep Learning
ConvNetSharp,5,csharp,22,2,csharp/ConvNetSharp/Examples/FlowDemo/ExampleGPUSingle.cs.ifdefed,62,83,82,Block,Type 3,Deep Learning
ConvNetSharp,18,csharp,75,2,csharp/ConvNetSharp/Examples/MnistDemo/Program.cs.ifdefed,25,99,70,Block,Type 3,Deep Learning
ConvNetSharp,18,csharp,41,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/Program.cs.ifdefed,28,68,70,Block,Type 3,Deep Learning
ConvNetSharp,19,csharp,10,3,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Pool.cs.ifdefed,42,51,70,Block,Type 3,Deep Learning
ConvNetSharp,19,csharp,9,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Convolution.cs.ifdefed,23,31,70,Block,Type 3,Deep Learning
ConvNetSharp,19,csharp,12,3, csharp/ConvNetSharp/Examples/RnnDemo.Flow/RnnDemo.cs.ifdefed,27,38,70,Block,Type 3,Deep Learning
ConvNetSharp,28,csharp,62,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Net.cs.ifdefed,208,147,80,Function,Type 3,Deep Learning
