repoName,classid,language,nlines,nb_fragment,files_splitted,startlines_split,endlines_split,similarity,granularity,clone_type,reposType
AspectCore-Framework,1,csharp,8,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/Configuration/InterceptorCollection.cs.ifdefed,13,20,100,Block,Type 2,Traditional
AspectCore-Framework,1,csharp,8,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/Configuration/AspectValidationHandlerCollection.cs.ifdefed,12,19,100,Block,Type 2,Traditional
AspectCore-Framework,1,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/Configuration/InterceptorCollection.cs.ifdefed,12,20,100,Function,Type 2,Traditional
AspectCore-Framework,1,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/Configuration/AspectValidationHandlerCollection.cs.ifdefed,11,19,100,Function,Type 2,Traditional
AspectCore-Framework,2,csharp,8,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/Configuration/Extensions/InterceptorCollectionExtensions.cs.ifdefed,14,21,100,Block,Type 2,Traditional
AspectCore-Framework,2,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/DependencyInjection/ServiceContextExtensions.cs.ifdefed,82,91,100,Block,Type 2,Traditional
AspectCore-Framework,3,csharp,6,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/DependencyInjection/ServiceContextExtensions.cs.ifdefed,76,81,100,Block,Type 2,Traditional
AspectCore-Framework,3,csharp,6,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DependencyInjection/LifetimeServiceContext.cs.ifdefed,23,28,100,Block,Type 2,Traditional
AspectCore-Framework,8,csharp,7,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DynamicProxy/AspectBuilderFactory.cs.ifdefed,16,22,100,Block,Type 2,Traditional
AspectCore-Framework,8,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DynamicProxy/Parameters/ParameterInterceptorSelector.cs.ifdefed,14,23,100,Block,Type 2,Traditional
AspectCore-Framework,14,csharp,5,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Factories/ParameterReflector.Factory.cs.ifdefed,11,15,100,Function,Type 2,Traditional
AspectCore-Framework,14,csharp,11,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Factories/TypeReflector.Factory.cs.ifdefed,8,18,100,Function,Type 2,Traditional
AspectCore-Framework,16,csharp,17,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.cs.ifdefed,81,97,100,Function,Type 2,Traditional
AspectCore-Framework,16,csharp,9,3,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,88,96,100,Function,Type 2,Traditional
AspectCore-Framework,16,csharp,4,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,87,90,100,Function,Type 2,Traditional
AspectCore-Framework,19,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.DependencyInjection.Test/AdditionalInterceptorSelectorTests.cs.ifdefed,15,23,100,Function,Type 2,Traditional
AspectCore-Framework,19,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/DynamicProxy/AdditionalInterceptorSelectorTests.cs.ifdefed,19,27,100,Function,Type 2,Traditional
AspectCore-Framework,22,csharp,23,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,89,67,100,Function,Type 2,Traditional
AspectCore-Framework,22,csharp,33,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,62,94,100,Function,Type 2,Traditional
AspectCore-Framework,23,csharp,33,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,71,103,100,Function,Type 2,Traditional
AspectCore-Framework,23,csharp,23,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,98,76,100,Function,Type 2,Traditional
AspectCore-Framework,24,csharp,33,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,80,112,100,Function,Type 2,Traditional
AspectCore-Framework,24,csharp,23,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,107,85,100,Function,Type 2,Traditional
AspectCore-Framework,27,csharp,11,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,57,67,100,Function,Type 2,Traditional
AspectCore-Framework,27,csharp,11,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,42,52,100,Function,Type 2,Traditional
AspectCore-Framework,28,csharp,51,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/ConstructorReflector.cs.ifdefed,45,95,100,Block,Type 2,Traditional
AspectCore-Framework,28,csharp,39,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/FieldReflector.cs.ifdefed,89,51,100,Block,Type 2,Traditional
AspectCore-Framework,28,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,55,63,100,Function,Type 2,Traditional
AspectCore-Framework,28,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,52,60,100,Function,Type 2,Traditional
AspectCore-Framework,30,csharp,7,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/ExcuteTimesTests.cs.ifdefed,71,77,100,Function,Type 2,Traditional
AspectCore-Framework,30,csharp,7,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,69,75,100,Function,Type 2,Traditional
AspectCore-Framework,31,csharp,5,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,81,85,100,Function,Type 2,Traditional
AspectCore-Framework,31,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/ExcuteTimesTests.cs.ifdefed,79,87,100,Function,Type 2,Traditional
AspectCore-Framework,33,csharp,4,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Factories/ParameterReflector.Factory.cs.ifdefed,12,15,100,Block,Type 2,Traditional
AspectCore-Framework,33,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Factories/TypeReflector.Factory.cs.ifdefed,9,18,100,Block,Type 2,Traditional
AspectCore-Framework,39,csharp,9,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.cs.ifdefed,89,97,100,Block,Type 2,Traditional
AspectCore-Framework,39,csharp,9,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,82,90,100,Block,Type 2,Traditional
AspectCore-Framework,39,csharp,9,3,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,88,96,100,Block,Type 2,Traditional
AspectCore-Framework,45,csharp,12,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/DynamicProxy/AdditionalInterceptorSelectorTests.cs.ifdefed,16,27,100,Block,Type 2,Traditional
AspectCore-Framework,45,csharp,4,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.DependencyInjection.Test/AdditionalInterceptorSelectorTests.cs.ifdefed,20,23,100,Block,Type 2,Traditional
AspectCore-Framework,48,csharp,32,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,63,94,100,Block,Type 2,Traditional
AspectCore-Framework,48,csharp,24,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,90,67,100,Block,Type 2,Traditional
AspectCore-Framework,49,csharp,5,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,99,103,100,Block,Type 2,Traditional
AspectCore-Framework,49,csharp,5,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,72,76,100,Block,Type 2,Traditional
AspectCore-Framework,50,csharp,32,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,81,112,100,Block,Type 2,Traditional
AspectCore-Framework,50,csharp,24,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,108,85,100,Block,Type 2,Traditional
AspectCore-Framework,50,csharp,7,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/Injector/ManyEnumerableTest.cs.ifdefed,22,28,100,Function,Type 2,Traditional
AspectCore-Framework,50,csharp,7,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/Injector/EnumerableTest.cs.ifdefed,13,19,100,Function,Type 2,Traditional
AspectCore-Framework,53,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,43,52,100,Block,Type 2,Traditional
AspectCore-Framework,53,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,58,67,100,Block,Type 2,Traditional
AspectCore-Framework,54,csharp,11,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,53,63,100,Block,Type 2,Traditional
AspectCore-Framework,54,csharp,5,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,56,60,100,Block,Type 2,Traditional
AspectCore-Framework,56,csharp,4,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,72,75,100,Block,Type 2,Traditional
AspectCore-Framework,56,csharp,8,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/ExcuteTimesTests.cs.ifdefed,70,77,100,Block,Type 2,Traditional
AspectCore-Framework,57,csharp,6,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/ExcuteTimesTests.cs.ifdefed,82,87,100,Block,Type 2,Traditional
AspectCore-Framework,57,csharp,6,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,80,85,100,Block,Type 2,Traditional
AspectCore-Framework,80,csharp,6,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/Injector/EnumerableTest.cs.ifdefed,14,19,100,Block,Type 2,Traditional
AspectCore-Framework,80,csharp,6,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/Injector/ManyEnumerableTest.cs.ifdefed,23,28,100,Block,Type 2,Traditional
AspectCore-Framework,83,csharp,3,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/Injector/TransientTest.cs.ifdefed,19,21,100,Block,Type 2,Traditional
AspectCore-Framework,83,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Tests/Injector/SingletonTest.cs.ifdefed,16,24,100,Block,Type 2,Traditional
Avalonia,2,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/ContextMenuPage.xaml.cs.ifdefed,17,26,100,Function,Type 2,Traditional
Avalonia,2,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/MenuPage.xaml.cs.ifdefed,26,35,100,Function,Type 2,Traditional
Avalonia,3,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/MenuPage.xaml.cs.ifdefed,27,35,100,Block,Type 2,Traditional
Avalonia,3,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/ContextMenuPage.xaml.cs.ifdefed,18,26,100,Block,Type 2,Traditional
Avalonia,5,csharp,109,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/OpenGlPage.xaml.cs.ifdefed,291,399,100,Function,Type 2,Traditional
Avalonia,5,csharp,99,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.OpenGL/GlInterface.cs.ifdefed,394,296,100,Function,Type 2,Traditional
Avalonia,7,csharp,108,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/OpenGlPage.xaml.cs.ifdefed,292,399,100,Block,Type 2,Traditional
Avalonia,7,csharp,100,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.OpenGL/GlInterface.cs.ifdefed,395,296,100,Block,Type 2,Traditional
Avalonia,7,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/ViewModels/ItemsRepeaterPageViewModel.cs.ifdefed,99,107,100,Function,Type 2,Traditional
Avalonia,7,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/VirtualizationDemo/ViewModels/MainWindowViewModel.cs.ifdefed,34,42,100,Function,Type 2,Traditional
Avalonia,11,csharp,13,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/ViewModels/MainWindowViewModel.cs.ifdefed,64,52,100,Block,Type 2,Traditional
Avalonia,11,csharp,25,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Native/AvaloniaNativeMenuExporter.cs.ifdefed,46,70,100,Block,Type 2,Traditional
Avalonia,15,csharp,20,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Animation/IterationCount.cs.ifdefed,132,113,100,Function,Type 2,Traditional
Avalonia,15,csharp,46,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Controls/GridLength.cs.ifdefed,100,145,100,Function,Type 2,Traditional
Avalonia,16,csharp,72,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Remote.Protocol/BsonStreamTransport.cs.ifdefed,128,57,100,Block,Type 2,Traditional
Avalonia,16,csharp,82,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Android/Avalonia.Android/AndroidThreadingInterface.cs.ifdefed,52,133,100,Block,Type 2,Traditional
