repoName,classid,file,startline,endline,pcid,similarity,granularity
Pomelo.EntityFrameworkCore.MySql,1,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql.Json.Microsoft/Extensions/Internal/MySqlJsonMicrosoftPropertyBuilderExtensions.cs.ifdefed,25,35,1,100,functions
Pomelo.EntityFrameworkCore.MySql,1,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql.Json.Newtonsoft/Extensions/Internal/MySqlJsonNewtonsoftPropertyBuilderExtensions.cs.ifdefed,25,35,21,100,functions
Pomelo.EntityFrameworkCore.MySql,2,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql.Json.Microsoft/Extensions/MySqlJsonMicrosoftPropertyBuilderExtensions.cs.ifdefed,25,35,5,100,functions
Pomelo.EntityFrameworkCore.MySql,2,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql.Json.Newtonsoft/Extensions/MySqlJsonNewtonsoftPropertyBuilderExtensions.cs.ifdefed,25,35,25,100,functions
Pomelo.EntityFrameworkCore.MySql,3,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql.Json.Microsoft/Query/Internal/MySqlJsonMicrosoftDomTranslator.cs.ifdefed,180,193,9,100,functions
Pomelo.EntityFrameworkCore.MySql,3,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql.Json.Newtonsoft/Query/Internal/MySqlJsonNewtonsoftDomTranslator.cs.ifdefed,176,189,29,100,functions
Pomelo.EntityFrameworkCore.MySql,4,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql/Storage/Internal/MySqlDateTimeOffsetTypeMapping.cs.ifdefed,74,83,351,100,functions
Pomelo.EntityFrameworkCore.MySql,4,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql/Storage/Internal/MySqlDoubleTypeMapping.cs.ifdefed,56,65,355,100,functions
Pomelo.EntityFrameworkCore.MySql,4,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql/Storage/Internal/MySqlDecimalTypeMapping.cs.ifdefed,62,71,354,100,functions
Pomelo.EntityFrameworkCore.MySql,4,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/src/EFCore.MySql/Storage/Internal/MySqlFloatTypeMapping.cs.ifdefed,59,68,358,100,functions
Pomelo.EntityFrameworkCore.MySql,5,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/ManyToManyLoadMySqlTest.cs.ifdefed,21,41,448,100,functions
Pomelo.EntityFrameworkCore.MySql,5,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/ManyToManyTrackingMySqlTestBase.cs.ifdefed,26,46,449,100,functions
Pomelo.EntityFrameworkCore.MySql,6,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/EscapesMySqlNoBackslashesTest.cs.ifdefed,18,34,745,100,functions
Pomelo.EntityFrameworkCore.MySql,6,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/EscapesMySqlTest.cs.ifdefed,18,34,749,100,functions
Pomelo.EntityFrameworkCore.MySql,7,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/EscapesMySqlNoBackslashesTest.cs.ifdefed,48,58,747,100,functions
Pomelo.EntityFrameworkCore.MySql,7,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/EscapesMySqlTest.cs.ifdefed,48,58,751,100,functions
Pomelo.EntityFrameworkCore.MySql,8,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/GearsOfWarQueryMySqlFixture.cs.ifdefed,15,23,760,100,functions
Pomelo.EntityFrameworkCore.MySql,8,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/TPTGearsOfWarQueryMySqlFixture.cs.ifdefed,15,23,1419,100,functions
Pomelo.EntityFrameworkCore.MySql,9,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/GearsOfWarQueryMySqlFixture.cs.ifdefed,32,42,762,100,functions
Pomelo.EntityFrameworkCore.MySql,9,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/TPTGearsOfWarQueryMySqlFixture.cs.ifdefed,32,42,1421,100,functions
Pomelo.EntityFrameworkCore.MySql,10,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/GearsOfWarQueryMySqlFixture.cs.ifdefed,44,54,763,100,functions
Pomelo.EntityFrameworkCore.MySql,10,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/TPTGearsOfWarQueryMySqlFixture.cs.ifdefed,44,54,1422,100,functions
Pomelo.EntityFrameworkCore.MySql,11,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql/test/EFCore.MySql.FunctionalTests/Query/GearsOfWarQueryMySqlTest.cs.ifdefed,28,39,774,100,functions
