repoName,granularity,clone_type,language,reposType,nb_fragment,repo,repoName_path,total_sloc,normalization_occs
AspectCore-Framework,Block,type 1,csharp,Traditional,212,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.012243012243012243
AspectCore-Framework,Block,type 2,csharp,Traditional,150,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.008662508662508662
AspectCore-Framework,Block,type 3,csharp,Traditional,347,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.02003927003927004
AspectCore-Framework,Function,type 1,csharp,Traditional,48,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.002772002772002772
AspectCore-Framework,Function,type 2,csharp,Traditional,110,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.006352506352506352
AspectCore-Framework,Function,type 3,csharp,Traditional,251,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.014495264495264495
Avalonia,Block,type 1,csharp,Traditional,1974,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.008042960983082891
Avalonia,Block,type 2,csharp,Traditional,1241,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.005056390364744614
Avalonia,Block,type 3,csharp,Traditional,4005,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.01631816552038854
Avalonia,Function,type 1,csharp,Traditional,693,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.0028235926855503767
Avalonia,Function,type 2,csharp,Traditional,621,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.0025302324065321555
Avalonia,Function,type 3,csharp,Traditional,2598,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.010585416734574138
CeNiN,Block,type 1,csharp,Deep Learning,28,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.019471488178025034
CeNiN,Block,type 2,csharp,Deep Learning,10,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.006954102920723227
CeNiN,Block,type 3,csharp,Deep Learning,6,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.004172461752433936
CeNiN,Function,type 1,csharp,Deep Learning,8,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.005563282336578581
CeNiN,Function,type 3,csharp,Deep Learning,4,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.0027816411682892906
ConvNetSharp,Block,type 1,csharp,Deep Learning,480,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.02888086642599278
ConvNetSharp,Block,type 2,csharp,Deep Learning,398,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.02394705174488568
ConvNetSharp,Block,type 3,csharp,Deep Learning,388,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.023345367027677498
ConvNetSharp,Function,type 1,csharp,Deep Learning,142,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.008543922984356198
ConvNetSharp,Function,type 2,csharp,Deep Learning,256,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.015403128760529482
ConvNetSharp,Function,type 3,csharp,Deep Learning,247,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.014861612515042118
Dapper,Block,type 1,csharp,Traditional,99,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.005490544063002607
Dapper,Block,type 2,csharp,Traditional,48,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.002662081969940658
Dapper,Block,type 3,csharp,Traditional,166,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.009206366812711442
Dapper,Function,type 1,csharp,Traditional,16,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.000887360656646886
Dapper,Function,type 2,csharp,Traditional,20,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.0011092008208086074
Dapper,Function,type 3,csharp,Traditional,79,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.0043813432421939994
DeepDriver,Block,type 1,java,Deep Learning,2333,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.07230745389741206
DeepDriver,Block,type 2,java,Deep Learning,1433,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.04441345110801178
DeepDriver,Block,type 3,java,Deep Learning,1084,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.033596776693011005
DeepDriver,Function,type 1,java,Deep Learning,1163,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.036045250271191695
DeepDriver,Function,type 2,java,Deep Learning,614,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.019029908569657524
DeepDriver,Function,type 3,java,Deep Learning,547,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.016953355028668834
EntityFramework.Extended,Block,type 1,csharp,Traditional,536,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.04092852779474649
EntityFramework.Extended,Block,type 2,csharp,Traditional,82,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.006261453879047038
EntityFramework.Extended,Block,type 3,csharp,Traditional,182,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.013897373243738546
EntityFramework.Extended,Function,type 1,csharp,Traditional,348,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.02657299938912645
EntityFramework.Extended,Function,type 2,csharp,Traditional,61,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.00465791081246182
EntityFramework.Extended,Function,type 3,csharp,Traditional,151,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.011530238240684179
FaceONNX,Block,type 1,csharp,Deep Learning,247,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.10914714980114892
FaceONNX,Block,type 2,csharp,Deep Learning,16,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.007070260715863898
FaceONNX,Block,type 3,csharp,Deep Learning,32,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.014140521431727796
FaceONNX,Function,type 1,csharp,Deep Learning,202,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.08926204153778171
FaceONNX,Function,type 3,csharp,Deep Learning,27,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.011931064958020326
KelpNet,Block,type 1,csharp,Deep Learning,191,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.009075789973865525
KelpNet,Block,type 2,csharp,Deep Learning,473,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.022475647422190544
KelpNet,Block,type 3,csharp,Deep Learning,326,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.015490615348063673
KelpNet,Function,type 1,csharp,Deep Learning,68,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.0032311712995961037
KelpNet,Function,type 2,csharp,Deep Learning,251,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.011926823473509146
