language,repo,repoName,repoName_path,reposType,total_sloc
csharp,ConvNetSharp,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,Deep Learning,16620
csharp,SiaNet,SiaNet,b-repositories/DL/csharp/SiaNet,Deep Learning,248467
csharp,KelpNet,KelpNet,b-repositories/DL/csharp/KelpNet,Deep Learning,21045
csharp,MyCaffe,MyCaffe,b-repositories/DL/csharp/MyCaffe,Deep Learning,180353
csharp,RNNSharp,RNNSharp,b-repositories/DL/csharp/RNNSharp,Deep Learning,6316
csharp,SharpNet,SharpNet,b-repositories/DL/csharp/SharpNet,Deep Learning,27593
csharp,TensorShader,TensorShader,b-repositories/DL/csharp/TensorShader,Deep Learning,149199
csharp,keras-sharp,keras-sharp,b-repositories/DL/csharp/keras-sharp,Deep Learning,10751
csharp,CeNiN,CeNiN,b-repositories/DL/csharp/CeNiN,Deep Learning,1438
csharp,Seq2SeqSharp,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,Deep Learning,18088
csharp,Vortex,Vortex,b-repositories/DL/csharp/Vortex,Deep Learning,5769
csharp,FaceONNX,FaceONNX,b-repositories/DL/csharp/FaceONNX,Deep Learning,2263
csharp,NeuralNetwork.NET,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,Deep Learning,12201
csharp,Keras.NET,Keras.NET,b-repositories/DL/csharp/Keras.NET,Deep Learning,5454
csharp,EntityFramework.Extended,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,Traditional,13096
csharp,LockstepFramework,LockstepFramework,/tmpstore/bimus/b-repositories/trad/csharp/LockstepFramework,Traditional,24733
csharp,AspectCore-Framework,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,Traditional,17316
csharp,Pomelo.EntityFrameworkCore.MySql,Pomelo.EntityFrameworkCore.MySql,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql,Traditional,44115
csharp,aspnetboilerplate,aspnetboilerplate,/tmpstore/bimus/b-repositories/trad/csharp/aspnetboilerplate,Traditional,109493
csharp,MassTransit,MassTransit,/tmpstore/bimus/b-repositories/trad/csharp/MassTransit,Traditional,226522
csharp,shadowsocks-windows,shadowsocks-windows,/tmpstore/bimus/b-repositories/trad/csharp/shadowsocks-windows,Traditional,9111
csharp,PowerShell,PowerShell,/tmpstore/bimus/b-repositories/trad/csharp/PowerShell,Traditional,508504
csharp,ShareX,ShareX,/tmpstore/bimus/b-repositories/trad/csharp/ShareX,Traditional,112019
csharp,ScreenToGif,ScreenToGif,/tmpstore/bimus/b-repositories/trad/csharp/ScreenToGif,Traditional,63092
csharp,Dapper,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,Traditional,18031
csharp,Avalonia,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,Traditional,245432
csharp,jellyfin,jellyfin,/tmpstore/bimus/b-repositories/trad/csharp/jellyfin,Traditional,150776
csharp,efcore,efcore,/tmpstore/bimus/b-repositories/trad/csharp/efcore,Traditional,691019
java,neuralnetworks,neuralnetworks,b-repositories/DL/java/neuralnetworks,Deep Learning,43902
java,SANNet,SANNet,b-repositories/DL/java/SANNet,Deep Learning,16172
java,DeepDriver,DeepDriver,b-repositories/DL/java/DeepDriver,Deep Learning,32265
java,deeplearning4j,deeplearning4j,b-repositories/DL/java/deeplearning4j,Deep Learning,526195
java,knime-deeplearning,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,Deep Learning,49445
java,djl,djl,b-repositories/DL/java/djl,Deep Learning,74161
java,,spring-framework,/tmpstore/bimus/b-repositories/trad/java/spring-framework,Traditional,699741
java,,framework,/tmpstore/bimus/b-repositories/trad/java/framework,Traditional,437134
java,,okhttp,/tmpstore/bimus/b-repositories/trad/java/okhttp,Traditional,37217
java,,retrofit,/tmpstore/bimus/b-repositories/trad/java/retrofit,Traditional,26513
java,,dubbo,/tmpstore/bimus/b-repositories/trad/java/dubbo,Traditional,174064
java,,MPAndroidChart,/tmpstore/bimus/b-repositories/trad/java/MPAndroidChart,Traditional,25232
