repoName,granularity,clone_type,language,reposType,nb_fragment,repo,repoName_path,total_sloc,normalization_occs
AspectCore-Framework,Block,type 1,csharp,Traditional,212,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.012243012243012243
AspectCore-Framework,Function,type 1,csharp,Traditional,48,AspectCore-Framework,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,0.002772002772002772
Avalonia,Block,type 1,csharp,Traditional,1974,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.008042960983082891
Avalonia,Function,type 1,csharp,Traditional,693,Avalonia,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,0.0028235926855503767
Dapper,Block,type 1,csharp,Traditional,99,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.005490544063002607
Dapper,Function,type 1,csharp,Traditional,16,Dapper,/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,0.000887360656646886
EntityFramework.Extended,Block,type 1,csharp,Traditional,536,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.04092852779474649
EntityFramework.Extended,Function,type 1,csharp,Traditional,348,EntityFramework.Extended,/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,0.02657299938912645
LockstepFramework,Block,type 1,csharp,Traditional,150,LockstepFramework,/tmpstore/bimus/b-repositories/trad/csharp/LockstepFramework,24733,0.0060647717624226745
LockstepFramework,Function,type 1,csharp,Traditional,24,LockstepFramework,/tmpstore/bimus/b-repositories/trad/csharp/LockstepFramework,24733,0.0009703634819876279
MPAndroidChart,Block,type 1,java,Traditional,993,,/tmpstore/bimus/b-repositories/trad/java/MPAndroidChart,25232,0.039354787571337986
MPAndroidChart,Function,type 1,java,Traditional,123,,/tmpstore/bimus/b-repositories/trad/java/MPAndroidChart,25232,0.004874762206721624
MassTransit,Block,type 1,csharp,Traditional,6786,MassTransit,/tmpstore/bimus/b-repositories/trad/csharp/MassTransit,226522,0.02995735513548353
MassTransit,Function,type 1,csharp,Traditional,2753,MassTransit,/tmpstore/bimus/b-repositories/trad/csharp/MassTransit,226522,0.012153344928969372
Pomelo.EntityFrameworkCore.MySql,Block,type 1,csharp,Traditional,504,Pomelo.EntityFrameworkCore.MySql,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql,44115,0.011424685481128868
Pomelo.EntityFrameworkCore.MySql,Function,type 1,csharp,Traditional,216,Pomelo.EntityFrameworkCore.MySql,/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql,44115,0.004896293777626658
PowerShell,Block,type 1,csharp,Traditional,4867,PowerShell,/tmpstore/bimus/b-repositories/trad/csharp/PowerShell,508504,0.00957121281248525
PowerShell,Function,type 1,csharp,Traditional,755,PowerShell,/tmpstore/bimus/b-repositories/trad/csharp/PowerShell,508504,0.0014847474159495305
ScreenToGif,Block,type 1,csharp,Traditional,2139,ScreenToGif,/tmpstore/bimus/b-repositories/trad/csharp/ScreenToGif,63092,0.03390287199644963
ScreenToGif,Function,type 1,csharp,Traditional,697,ScreenToGif,/tmpstore/bimus/b-repositories/trad/csharp/ScreenToGif,63092,0.011047359411652824
ShareX,Block,type 1,csharp,Traditional,761,ShareX,/tmpstore/bimus/b-repositories/trad/csharp/ShareX,112019,0.006793490390023121
ShareX,Function,type 1,csharp,Traditional,224,ShareX,/tmpstore/bimus/b-repositories/trad/csharp/ShareX,112019,0.0019996607718333497
aspnetboilerplate,Block,type 1,csharp,Traditional,2609,aspnetboilerplate,/tmpstore/bimus/b-repositories/trad/csharp/aspnetboilerplate,109493,0.023828007269871134
aspnetboilerplate,Function,type 1,csharp,Traditional,1023,aspnetboilerplate,/tmpstore/bimus/b-repositories/trad/csharp/aspnetboilerplate,109493,0.009343063026860164
dubbo,Function,type 1,java,Traditional,6708,,/tmpstore/bimus/b-repositories/trad/java/dubbo,174064,0.038537549407114624
efcore,Block,type 1,csharp,Traditional,15855,efcore,/tmpstore/bimus/b-repositories/trad/csharp/efcore,691019,0.022944376348551922
efcore,Function,type 1,csharp,Traditional,6993,efcore,/tmpstore/bimus/b-repositories/trad/csharp/efcore,691019,0.010119837515321577
framework,Block,type 1,java,Traditional,13198,,/tmpstore/bimus/b-repositories/trad/java/framework,437134,0.03019211500363733
framework,Function,type 1,java,Traditional,9436,,/tmpstore/bimus/b-repositories/trad/java/framework,437134,0.0215860582796122
jellyfin,Block,type 1,csharp,Traditional,1664,jellyfin,/tmpstore/bimus/b-repositories/trad/csharp/jellyfin,150776,0.01103623918926089
jellyfin,Function,type 1,csharp,Traditional,291,jellyfin,/tmpstore/bimus/b-repositories/trad/csharp/jellyfin,150776,0.0019300153870642543
okhttp,Block,type 1,java,Traditional,562,,/tmpstore/bimus/b-repositories/trad/java/okhttp,37217,0.015100626057984255
okhttp,Function,type 1,java,Traditional,423,,/tmpstore/bimus/b-repositories/trad/java/okhttp,37217,0.011365773705564661
retrofit,Block,type 1,java,Traditional,1383,,/tmpstore/bimus/b-repositories/trad/java/retrofit,26513,0.05216308980500132
retrofit,Function,type 1,java,Traditional,1178,,/tmpstore/bimus/b-repositories/trad/java/retrofit,26513,0.04443103383245955
spring-framework,Block,type 1,java,Traditional,14523,,/tmpstore/bimus/b-repositories/trad/java/spring-framework,699741,0.02075482214133515
spring-framework,Function,type 1,java,Traditional,9156,,/tmpstore/bimus/b-repositories/trad/java/spring-framework,699741,0.013084841391314786
