repoName,granularity,clone_type,language,reposType,nb_fragment
AspectCore-Framework,Block,type 1,csharp,Traditional,212
AspectCore-Framework,Block,type 2,csharp,Traditional,150
AspectCore-Framework,Block,type 3,csharp,Traditional,347
AspectCore-Framework,Function,type 1,csharp,Traditional,48
AspectCore-Framework,Function,type 2,csharp,Traditional,110
AspectCore-Framework,Function,type 3,csharp,Traditional,251
Avalonia,Block,type 1,csharp,Traditional,1974
Avalonia,Block,type 2,csharp,Traditional,1241
Avalonia,Block,type 3,csharp,Traditional,4005
Avalonia,Function,type 1,csharp,Traditional,693
Avalonia,Function,type 2,csharp,Traditional,621
Avalonia,Function,type 3,csharp,Traditional,2598
CeNiN,Block,type 1,csharp,Deep Learning,28
CeNiN,Block,type 2,csharp,Deep Learning,10
CeNiN,Block,type 3,csharp,Deep Learning,6
CeNiN,Function,type 1,csharp,Deep Learning,8
CeNiN,Function,type 3,csharp,Deep Learning,4
ConvNetSharp,Block,type 1,csharp,Deep Learning,480
ConvNetSharp,Block,type 2,csharp,Deep Learning,398
ConvNetSharp,Block,type 3,csharp,Deep Learning,388
ConvNetSharp,Function,type 1,csharp,Deep Learning,142
ConvNetSharp,Function,type 2,csharp,Deep Learning,256
ConvNetSharp,Function,type 3,csharp,Deep Learning,247
Dapper,Block,type 1,csharp,Traditional,99
Dapper,Block,type 2,csharp,Traditional,48
Dapper,Block,type 3,csharp,Traditional,166
Dapper,Function,type 1,csharp,Traditional,16
Dapper,Function,type 2,csharp,Traditional,20
Dapper,Function,type 3,csharp,Traditional,79
DeepDriver,Block,type 1,java,Deep Learning,2333
DeepDriver,Block,type 2,java,Deep Learning,1433
DeepDriver,Block,type 3,java,Deep Learning,1084
DeepDriver,Function,type 1,java,Deep Learning,1163
DeepDriver,Function,type 2,java,Deep Learning,614
DeepDriver,Function,type 3,java,Deep Learning,547
EntityFramework.Extended,Block,type 1,csharp,Traditional,536
EntityFramework.Extended,Block,type 2,csharp,Traditional,82
EntityFramework.Extended,Block,type 3,csharp,Traditional,182
EntityFramework.Extended,Function,type 1,csharp,Traditional,348
EntityFramework.Extended,Function,type 2,csharp,Traditional,61
EntityFramework.Extended,Function,type 3,csharp,Traditional,151
FaceONNX,Block,type 1,csharp,Deep Learning,247
FaceONNX,Block,type 2,csharp,Deep Learning,16
FaceONNX,Block,type 3,csharp,Deep Learning,32
FaceONNX,Function,type 1,csharp,Deep Learning,202
FaceONNX,Function,type 3,csharp,Deep Learning,27
KelpNet,Block,type 1,csharp,Deep Learning,191
KelpNet,Block,type 2,csharp,Deep Learning,473
KelpNet,Block,type 3,csharp,Deep Learning,326
KelpNet,Function,type 1,csharp,Deep Learning,68
KelpNet,Function,type 2,csharp,Deep Learning,251
KelpNet,Function,type 3,csharp,Deep Learning,133
Keras.NET,Block,type 1,csharp,Deep Learning,76
Keras.NET,Block,type 2,csharp,Deep Learning,250
Keras.NET,Block,type 3,csharp,Deep Learning,160
Keras.NET,Function,type 2,csharp,Deep Learning,20
Keras.NET,Function,type 3,csharp,Deep Learning,49
LockstepFramework,Block,type 1,csharp,Traditional,150
LockstepFramework,Block,type 2,csharp,Traditional,125
LockstepFramework,Block,type 3,csharp,Traditional,443
LockstepFramework,Function,type 1,csharp,Traditional,24
LockstepFramework,Function,type 2,csharp,Traditional,44
LockstepFramework,Function,type 3,csharp,Traditional,118
MPAndroidChart,Block,type 1,java,Traditional,993
MPAndroidChart,Block,type 2,java,Traditional,257
MPAndroidChart,Block,type 3,java,Traditional,568
MPAndroidChart,Function,type 1,java,Traditional,123
MPAndroidChart,Function,type 2,java,Traditional,83
MPAndroidChart,Function,type 3,java,Traditional,242
MassTransit,Block,type 1,csharp,Traditional,6786
MassTransit,Block,type 2,csharp,Traditional,1632
MassTransit,Block,type 3,csharp,Traditional,3617
MassTransit,Function,type 1,csharp,Traditional,2753
MassTransit,Function,type 2,csharp,Traditional,1146
MassTransit,Function,type 3,csharp,Traditional,2645
MyCaffe,Block,type 1,csharp,Deep Learning,6785
MyCaffe,Block,type 2,csharp,Deep Learning,14159
MyCaffe,Block,type 3,csharp,Deep Learning,4576
MyCaffe,Function,type 1,csharp,Deep Learning,1433
MyCaffe,Function,type 2,csharp,Deep Learning,8147
MyCaffe,Function,type 3,csharp,Deep Learning,2616
NeuralNetwork.NET,Block,type 1,csharp,Deep Learning,131
NeuralNetwork.NET,Block,type 2,csharp,Deep Learning,192
NeuralNetwork.NET,Block,type 3,csharp,Deep Learning,228
NeuralNetwork.NET,Function,type 1,csharp,Deep Learning,24
NeuralNetwork.NET,Function,type 2,csharp,Deep Learning,58
NeuralNetwork.NET,Function,type 3,csharp,Deep Learning,119
Pomelo.EntityFrameworkCore.MySql,Block,type 1,csharp,Traditional,504
Pomelo.EntityFrameworkCore.MySql,Block,type 2,csharp,Traditional,242
Pomelo.EntityFrameworkCore.MySql,Block,type 3,csharp,Traditional,664
Pomelo.EntityFrameworkCore.MySql,Function,type 1,csharp,Traditional,216
Pomelo.EntityFrameworkCore.MySql,Function,type 2,csharp,Traditional,219
Pomelo.EntityFrameworkCore.MySql,Function,type 3,csharp,Traditional,517
PowerShell,Block,type 1,csharp,Traditional,4867
PowerShell,Block,type 2,csharp,Traditional,2396
PowerShell,Block,type 3,csharp,Traditional,5353
PowerShell,Function,type 1,csharp,Traditional,755
PowerShell,Function,type 2,csharp,Traditional,803
PowerShell,Function,type 3,csharp,Traditional,2150
RNNSharp,Block,type 1,csharp,Deep Learning,108
RNNSharp,Block,type 2,csharp,Deep Learning,220
RNNSharp,Block,type 3,csharp,Deep Learning,139
RNNSharp,Function,type 1,csharp,Deep Learning,7
RNNSharp,Function,type 2,csharp,Deep Learning,47
RNNSharp,Function,type 3,csharp,Deep Learning,34
SANNet,Block,type 1,java,Deep Learning,490
