repoName,granularity,clone_type,language,project_type,locc,total_sloc,LOCC / total SLOC,LOCC_total_SLOC
AspectCore-Framework,Block,type 1,csharp,Traditional,497,17316,0.028701778701778702,0.028701778701778702
AspectCore-Framework,Block,type 2,csharp,Traditional,1176,17316,0.06791406791406791,0.06791406791406791
AspectCore-Framework,Block,type 3,csharp,Traditional,2811,17316,0.16233541233541235,0.16233541233541235
AspectCore-Framework,Function,type 1,csharp,Traditional,134,17316,0.007738507738507739,0.007738507738507739
AspectCore-Framework,Function,type 2,csharp,Traditional,939,17316,0.05422730422730423,0.05422730422730423
AspectCore-Framework,Function,type 3,csharp,Traditional,2084,17316,0.12035112035112035,0.12035112035112035
Avalonia,Block,type 1,csharp,Traditional,4000,245432,0.01629779327879005,0.01629779327879005
Avalonia,Block,type 2,csharp,Traditional,12869,245432,0.0524340754261873,0.0524340754261873
Avalonia,Block,type 3,csharp,Traditional,46245,245432,0.18842286254441148,0.18842286254441148
Avalonia,Function,type 1,csharp,Traditional,1874,245432,0.0076355161511131395,0.0076355161511131395
Avalonia,Function,type 2,csharp,Traditional,8725,245432,0.035549561589360804,0.035549561589360804
Avalonia,Function,type 3,csharp,Traditional,32112,245432,0.13083868444212654,0.13083868444212654
CeNiN,Block,type 1,csharp,Deep Learning,62,1438,0.043115438108484005,0.043115438108484005
CeNiN,Block,type 2,csharp,Deep Learning,10,1438,0.006954102920723227,0.006954102920723227
CeNiN,Block,type 3,csharp,Deep Learning,266,1438,0.18497913769123783,0.18497913769123783
CeNiN,Function,type 1,csharp,Deep Learning,28,1438,0.019471488178025034,0.019471488178025034
CeNiN,Function,type 3,csharp,Deep Learning,236,1438,0.16411682892906815,0.16411682892906815
ConvNetSharp,Block,type 1,csharp,Deep Learning,2042,16620,0.12286401925391095,0.12286401925391095
ConvNetSharp,Block,type 2,csharp,Deep Learning,1104,16620,0.0664259927797834,0.0664259927797834
ConvNetSharp,Block,type 3,csharp,Deep Learning,6419,16620,0.3862214199759326,0.3862214199759326
ConvNetSharp,Function,type 1,csharp,Deep Learning,874,16620,0.05258724428399519,0.05258724428399519
ConvNetSharp,Function,type 2,csharp,Deep Learning,936,16620,0.05631768953068592,0.05631768953068592
ConvNetSharp,Function,type 3,csharp,Deep Learning,5494,16620,0.3305655836341757,0.3305655836341757
Dapper,Block,type 1,csharp,Traditional,171,18031,0.009483667017913594,0.009483667017913594
Dapper,Block,type 2,csharp,Traditional,387,18031,0.02146303588264655,0.02146303588264655
Dapper,Block,type 3,csharp,Traditional,1320,18031,0.07320725417336808,0.07320725417336808
