repoName_path,total_sloc,repo
/tmpstore/bimus/b-repositories/trad/csharp/EntityFramework.Extended,13096,EntityFramework.Extended
/tmpstore/bimus/b-repositories/trad/csharp/LockstepFramework,24733,LockstepFramework
/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework,17316,AspectCore-Framework
/tmpstore/bimus/b-repositories/trad/csharp/Pomelo.EntityFrameworkCore.MySql,44115,Pomelo.EntityFrameworkCore.MySql
/tmpstore/bimus/b-repositories/trad/csharp/aspnetboilerplate,109493,aspnetboilerplate
/tmpstore/bimus/b-repositories/trad/csharp/MassTransit,226522,MassTransit
/tmpstore/bimus/b-repositories/trad/csharp/shadowsocks-windows,9111,shadowsocks-windows
/tmpstore/bimus/b-repositories/trad/csharp/PowerShell,508504,PowerShell
/tmpstore/bimus/b-repositories/trad/csharp/ShareX,112019,ShareX
/tmpstore/bimus/b-repositories/trad/csharp/ScreenToGif,63092,ScreenToGif
/tmpstore/bimus/b-repositories/trad/csharp/Dapper,18031,Dapper
/tmpstore/bimus/b-repositories/trad/csharp/Avalonia,245432,Avalonia
/tmpstore/bimus/b-repositories/trad/csharp/jellyfin,150776,jellyfin
/tmpstore/bimus/b-repositories/trad/csharp/efcore,691019,efcore
